file,algorithm,sign_ops_per_s,verify_ops_per_s,sign_dyn_pkg_mj_per_op,verify_dyn_pkg_mj_per_op,sign_dyn_cores_mj_per_op,verify_dyn_cores_mj_per_op
benchmark_log_rsa_20260119_033415.txt,rsa-7680,16.05,2559.45,183.366,1.139,176.904,1.095
benchmark_log_rsa_20260120_092821.txt,rsa-7680,16.05,2560.39,185.504,1.108,179.512,1.076
benchmark_log_rsa_20260120_115848.txt,rsa-7680,16.09,2556.58,190.787,1.156,182.767,1.116
benchmark_log_rsa_20260120_150523.txt,rsa-7680,16.07,2559.99,178.628,1.102,172.288,1.074
benchmark_log_rsa_20260120_163920.txt,rsa-7680,16.06,2560.6,177.611,1.115,173.382,1.079
benchmark_log_rsa_20260120_184116.txt,rsa-7680,16.04,2560.68,180.845,1.121,170.943,1.078
benchmark_log_sphincs_20260117_131103.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1567.8,1646.407,2.065,1610.467,2.01
benchmark_log_sphincs_20260117_134726.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.34,1626.015,2.008,1598.047,1.982
benchmark_log_sphincs_20260117_142350.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.54,629.35,71.216,5.048,70.49,4.912
benchmark_log_sphincs_20260117_171501.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.49,1608.663,2.048,1576.691,1.988
benchmark_log_sphincs_20260117_182047.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.52,629.35,70.318,5.013,69.456,4.871
benchmark_log_sphincs_20260117_184909.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.6,629.88,70.433,4.939,69.685,4.859
benchmark_log_sphincs_20260117_194533.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.3,1621.916,2.031,1604.424,1.993
benchmark_log_sphincs_20260117_202157.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.29,1619.181,2.044,1593.452,1.998
benchmark_log_sphincs_20260117_212741.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.58,629.1,70.535,4.945,69.78,4.859
benchmark_log_sphincs_20260117_225205.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.58,630.53,72.582,4.995,71.267,4.908
benchmark_log_sphincs_20260118_082922.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1565.88,1665.86,2.089,1613.087,2.013
benchmark_log_sphincs_20260118_090546.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.61,629.1,72.836,4.957,69.847,4.855
benchmark_log_sphincs_20260118_100343.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.56,629.21,72.362,5.167,69.892,4.914
benchmark_log_sphincs_20260118_103205.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.73,1647.862,1.976,1583.877,1.955
benchmark_log_sphincs_20260118_110829.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.57,630.29,72.183,5.032,69.979,4.875
