algorithm,runs,sign_ops_per_s__n,sign_ops_per_s__mean,sign_ops_per_s__sd,sign_ops_per_s__ci95,sign_ops_per_s__cv_pct,verify_ops_per_s__n,verify_ops_per_s__mean,verify_ops_per_s__sd,verify_ops_per_s__ci95,verify_ops_per_s__cv_pct,sign_dyn_pkg_mj_per_op__n,sign_dyn_pkg_mj_per_op__mean,sign_dyn_pkg_mj_per_op__sd,sign_dyn_pkg_mj_per_op__ci95,sign_dyn_pkg_mj_per_op__cv_pct,verify_dyn_pkg_mj_per_op__n,verify_dyn_pkg_mj_per_op__mean,verify_dyn_pkg_mj_per_op__sd,verify_dyn_pkg_mj_per_op__ci95,verify_dyn_pkg_mj_per_op__cv_pct,sign_dyn_cores_mj_per_op__n,sign_dyn_cores_mj_per_op__mean,sign_dyn_cores_mj_per_op__sd,sign_dyn_cores_mj_per_op__ci95,sign_dyn_cores_mj_per_op__cv_pct,verify_dyn_cores_mj_per_op__n,verify_dyn_cores_mj_per_op__mean,verify_dyn_cores_mj_per_op__sd,verify_dyn_cores_mj_per_op__ci95,verify_dyn_cores_mj_per_op__cv_pct
dilithium-Dilithium2,20,20,8781.7875,34.19050020030945,16.001646656447623,0.38933417826734534,20,23443.7595,42.18446140402153,19.742935664146717,0.17993897866091627,20,0.39035000000000003,0.002560324814919925,0.001198268898496913,0.6559049096759126,20,0.14545,0.0014317821063276365,0.0006700946526155764,0.9843809600052502,20,0.38695,0.0012763022245616653,0.0005973278280406377,0.32983647100702035,20,0.14404999999999998,0.0008870412083230177,0.0004151480645832963,0.6157870241742575
ecdsa-P-256,20,20,23147.6625,17.044936545558325,7.977275859834501,0.07363567075318438,20,8211.5665,3.067257089425302,1.4355205060446417,0.037352886193216625,20,0.1286,0.004247599941514964,0.001987937965337368,3.302954853433099,20,0.3362,0.0029664793948382677,0.0013883550931321242,0.8823555606300617,20,0.127,0.003612842589838006,0.0016908623801716028,2.844757944754335,20,0.33115,0.0014608937423083834,0.0006837193176490182,0.44115770566461826
eddsa-Ed25519,20,20,14984.5425,26.7962697472692,12.541040280035972,0.1788260785891141,20,5724.030000000001,2.2525330770396637,1.0542179309919302,0.03935222346912339,20,0.20589999999999997,0.0023147126683115745,0.0010833188754924862,1.1241926509526834,20,0.52755,0.018574104781147686,0.008692948623930035,3.520823577129691,20,0.20335,0.001039989878493246,0.0004867302456657303,0.5114285116760492,20,0.5206500000000001,0.01419886948798539,0.006645275475253245,2.727142895992584
falcon-Falcon-512,20,20,2975.6435,7.246662589372433,3.391542490290503,0.24353262040202173,20,14664.751500000002,19.806715042870437,9.269827983917299,0.13506342090331658,20,1.02835,0.030349325840080366,0.01420392171828963,2.9512642427267335,20,0.1885,0.0019330913339165236,0.0009047145931984127,1.0255126439875457,20,1.01715,0.024136181619259792,0.011296080713781,2.372922540358825,20,0.1863,0.00047016234598162767,0.00022004275127558354,0.2523684090078517
rsa-3072,20,20,336.0045,0.07059707761955693,0.03304044937709721,0.021010753611798928,20,14001.029999999999,5.969591363956979,2.793854758771743,0.04263680146358503,20,8.9704,0.343936713884829,0.16096733699482246,3.8341290676539392,20,0.2112,0.008451720472623804,0.003955526940222026,4.001761587416574,20,8.8363,0.2966791816796476,0.1388501311109447,3.3575046306672207,20,0.2085,0.007549834435270745,0.0035334312817918295,3.621023709961988
sphincs-SPHINCS+-SHA2-128f-simple,20,20,75.66900000000001,0.04621460238587115,0.021629099703555615,0.061074683669496276,20,958.0435,1.205187362590308,0.5640450481274791,0.1257967266194393,20,40.8495,0.41894761637125705,0.1960735199970298,1.0255881133704379,20,3.25485,0.04458967900404988,0.0208686121515347,1.3699457426317614,20,40.410450000000004,0.20609361056517353,0.09645477881559567,0.5100007808999244,20,3.19755,0.010236544441620104,0.004790850270635856,0.3201371187821958
sphincs-SPHINCS+-SHA2-128s-simple,20,20,3.6990000000000003,0.0030779350562555336,0.001440517948352464,0.08320992312126341,20,2563.5245,1.9867044253447554,0.9298062923595329,0.07749894433795174,20,837.37475,7.8208125696758595,3.660252952518214,0.9339680435403456,20,1.216,0.013306112564492592,0.006227452373627499,1.0942526780010355,20,827.0130499999999,2.676116480727444,1.2524610662381916,0.3235881804679435,20,1.2,0.006649099662043684,0.003111874431558195,0.5540916385036404
