file,algorithm,sign_ops_per_s,verify_ops_per_s,sign_dyn_pkg_mj_per_op,verify_dyn_pkg_mj_per_op,sign_dyn_cores_mj_per_op,verify_dyn_cores_mj_per_op
benchmark_log_eddsa_20260117_012829.txt,eddsa-Ed25519,15000.98,5724.92,0.203,0.531,0.202,0.529
benchmark_log_eddsa_20260117_032043.txt,eddsa-Ed25519,15000.65,5725.83,0.204,0.533,0.203,0.53
benchmark_log_eddsa_20260117_071357.txt,eddsa-Ed25519,15000.54,5727.07,0.204,0.536,0.202,0.529
benchmark_log_eddsa_20260119_100504.txt,eddsa-Ed25519,14939.84,5723.64,0.211,0.549,0.205,0.531
benchmark_log_eddsa_20260119_133008.txt,eddsa-Ed25519,15001.12,5720.41,0.205,0.506,0.204,0.504
benchmark_log_eddsa_20260119_171905.txt,eddsa-Ed25519,14998.81,5725.8,0.209,0.551,0.203,0.529
benchmark_log_eddsa_20260120_000049.txt,eddsa-Ed25519,14998.99,5720.81,0.207,0.545,0.202,0.529
benchmark_log_eddsa_20260120_005653.txt,eddsa-Ed25519,14998.63,5723.03,0.208,0.543,0.202,0.529
benchmark_log_falcon_20260114_234646.txt,falcon-Falcon-512,2970.16,14651.43,1.003,0.191,0.989,0.187
benchmark_log_falcon_20260115_030301.txt,falcon-Falcon-512,2970.48,14694.58,0.993,0.188,0.994,0.186
benchmark_log_falcon_20260115_111318.txt,falcon-Falcon-512,2983.3,14649.03,0.976,0.188,0.973,0.186
benchmark_log_falcon_20260115_114118.txt,falcon-Falcon-512,2983.29,14649.55,0.976,0.186,0.976,0.186
benchmark_log_falcon_20260115_133332.txt,falcon-Falcon-512,2967.84,14685.98,0.986,0.187,0.991,0.186
benchmark_log_falcon_20260115_170718.txt,falcon-Falcon-512,2979.98,14650.47,1.038,0.188,1.03,0.186
benchmark_log_falcon_20260115_173519.txt,falcon-Falcon-512,2969.15,14680.56,1.042,0.189,1.036,0.187
benchmark_log_falcon_20260115_210032.txt,falcon-Falcon-512,2983.22,14647.0,1.023,0.188,1.015,0.186
benchmark_log_falcon_20260116_021336.txt,falcon-Falcon-512,2969.94,14686.89,1.048,0.188,1.037,0.186
benchmark_log_falcon_20260116_055758.txt,falcon-Falcon-512,2982.18,14652.25,1.026,0.188,1.016,0.186
benchmark_log_falcon_20260116_194739.txt,falcon-Falcon-512,2967.52,14687.0,1.048,0.188,1.04,0.186
benchmark_log_falcon_20260117_044926.txt,falcon-Falcon-512,2967.76,14691.33,1.051,0.186,1.043,0.187
benchmark_log_falcon_20260117_054956.txt,falcon-Falcon-512,2969.51,14689.78,1.048,0.189,1.041,0.187
benchmark_log_falcon_20260117_061757.txt,falcon-Falcon-512,2981.66,14649.29,1.043,0.188,1.032,0.187
benchmark_log_falcon_20260117_100233.txt,falcon-Falcon-512,2983.78,14647.06,1.035,0.187,1.027,0.186
benchmark_log_falcon_20260119_110533.txt,falcon-Falcon-512,2982.8,14650.29,1.07,0.188,1.033,0.186
benchmark_log_falcon_20260119_135808.txt,falcon-Falcon-512,2976.25,14647.85,0.987,0.187,0.978,0.186
benchmark_log_falcon_20260119_174705.txt,falcon-Falcon-512,2979.35,14646.58,1.058,0.191,1.024,0.186
benchmark_log_falcon_20260119_184319.txt,falcon-Falcon-512,2962.0,14689.06,1.06,0.194,1.037,0.187
benchmark_log_falcon_20260119_203953.txt,falcon-Falcon-512,2982.7,14649.05,1.056,0.191,1.031,0.186
benchmark_log_rsa_20260115_043600.txt,rsa-3072,335.96,14004.58,8.539,0.206,8.532,0.204
benchmark_log_rsa_20260115_065631.txt,rsa-3072,336.14,14005.76,8.563,0.2,8.463,0.199
benchmark_log_rsa_20260115_082036.txt,rsa-3072,335.98,14006.56,8.351,0.208,8.213,0.205
benchmark_log_rsa_20260115_101710.txt,rsa-3072,335.96,13996.03,8.19,0.198,8.154,0.197
benchmark_log_rsa_20260115_104514.txt,rsa-3072,336.12,13994.76,8.508,0.201,8.442,0.199
benchmark_log_rsa_20260115_163914.txt,rsa-3072,335.97,13999.09,9.105,0.2,9.028,0.199
benchmark_log_rsa_20260115_222432.txt,rsa-3072,336.11,14010.39,9.103,0.218,9.036,0.216
benchmark_log_rsa_20260116_004906.txt,rsa-3072,335.96,14004.89,9.168,0.218,9.02,0.215
benchmark_log_rsa_20260116_024137.txt,rsa-3072,335.94,13992.97,9.005,0.216,8.92,0.213
benchmark_log_rsa_20260116_040554.txt,rsa-3072,335.96,13990.35,8.923,0.216,8.815,0.212
benchmark_log_rsa_20260116_211608.txt,rsa-3072,335.99,13996.28,9.081,0.217,9.033,0.215
benchmark_log_rsa_20260117_000426.txt,rsa-3072,335.98,14005.17,9.149,0.219,8.963,0.215
benchmark_log_rsa_20260117_081010.txt,rsa-3072,335.96,14001.9,9.116,0.219,8.996,0.216
benchmark_log_rsa_20260117_090614.txt,rsa-3072,336.16,13998.89,9.139,0.219,9.053,0.217
benchmark_log_rsa_20260117_110303.txt,rsa-3072,335.98,14003.52,9.154,0.22,9.023,0.216
benchmark_log_rsa_20260119_090855.txt,rsa-3072,335.99,14002.65,9.344,0.22,9.023,0.214
benchmark_log_rsa_20260119_093700.txt,rsa-3072,335.95,13990.66,9.371,0.214,9.009,0.209
benchmark_log_rsa_20260119_122934.txt,rsa-3072,336.06,14008.49,9.084,0.215,8.944,0.212
benchmark_log_rsa_20260119_194348.txt,rsa-3072,335.95,14007.65,9.31,0.198,9.024,0.197
benchmark_log_rsa_20260120_002849.txt,rsa-3072,335.97,14000.01,9.205,0.202,9.035,0.2
benchmark_log_sphincs_20260114_222233.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.69,959.45,40.367,3.205,40.335,3.184
benchmark_log_sphincs_20260115_001447.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.59,958.33,40.605,3.233,40.691,3.21
benchmark_log_sphincs_20260115_033101.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2566.4,828.954,1.198,826.938,1.192
benchmark_log_sphincs_20260115_040330.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2560.83,830.102,1.197,825.25,1.192
benchmark_log_sphincs_20260115_050404.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.66,960.83,40.515,3.213,40.411,3.184
benchmark_log_sphincs_20260115_060018.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.69,958.26,40.487,3.216,40.541,3.194
benchmark_log_sphincs_20260115_084840.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2563.84,840.177,1.206,831.156,1.199
benchmark_log_sphincs_20260115_123719.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.68,957.2,40.603,3.206,40.6,3.199
benchmark_log_sphincs_20260115_140133.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2559.97,824.264,1.21,826.455,1.199
benchmark_log_sphincs_20260115_143402.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2564.85,831.423,1.206,832.102,1.2
benchmark_log_sphincs_20260115_153831.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.72,959.41,40.526,3.212,40.367,3.186
benchmark_log_sphincs_20260115_160644.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.69,2561.84,835.722,1.204,831.48,1.197
benchmark_log_sphincs_20260115_183119.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2562.35,839.804,1.233,824.507,1.214
benchmark_log_sphincs_20260115_195949.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2563.99,846.347,1.24,830.847,1.208
benchmark_log_sphincs_20260115_203218.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.59,957.52,41.074,3.303,40.522,3.217
benchmark_log_sphincs_20260115_225236.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2559.99,836.141,1.226,821.159,1.204
benchmark_log_sphincs_20260116_011710.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.7,957.83,41.265,3.246,40.592,3.187
benchmark_log_sphincs_20260116_014523.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.64,958.42,40.825,3.249,40.449,3.204
benchmark_log_sphincs_20260116_030941.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.65,958.83,40.687,3.263,40.38,3.192
benchmark_log_sphincs_20260116_065359.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2562.13,838.761,1.214,826.757,1.201
benchmark_log_sphincs_20260116_184709.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2563.38,836.537,1.213,826.802,1.192
benchmark_log_sphincs_20260116_204339.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2566.21,840.112,1.222,827.186,1.205
benchmark_log_sphincs_20260116_214412.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.68,959.57,40.322,3.227,40.117,3.189
benchmark_log_sphincs_20260117_022430.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.73,958.54,41.831,3.352,40.057,3.193
benchmark_log_sphincs_20260117_034843.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.76,956.96,40.829,3.253,39.999,3.193
benchmark_log_sphincs_20260117_041656.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.69,2566.57,853.411,1.248,826.836,1.209
benchmark_log_sphincs_20260117_051727.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2566.1,829.503,1.219,824.228,1.208
benchmark_log_sphincs_20260117_074157.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.71,955.77,40.463,3.23,40.086,3.199
benchmark_log_sphincs_20260117_093420.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.64,957.04,40.944,3.255,40.653,3.212
benchmark_log_sphincs_20260117_103034.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2563.71,833.733,1.221,825.644,1.203
benchmark_log_sphincs_20260119_103304.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2564.44,853.946,1.218,827.468,1.201
benchmark_log_sphincs_20260119_125738.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2563.83,834.43,1.217,827.013,1.193
benchmark_log_sphincs_20260119_142608.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.69,957.12,40.977,3.296,40.647,3.211
benchmark_log_sphincs_20260119_152222.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2564.36,830.663,1.206,826.292,1.193
benchmark_log_sphincs_20260119_162251.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.66,957.9,40.569,3.236,40.468,3.197
benchmark_log_sphincs_20260119_181505.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.64,957.5,41.274,3.253,40.457,3.191
benchmark_log_sphincs_20260119_191119.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2562.41,845.175,1.217,827.089,1.199
benchmark_log_sphincs_20260119_210753.txt,sphincs-SPHINCS+-SHA2-128s-simple,3.7,2563.29,838.29,1.205,825.052,1.191
benchmark_log_sphincs_20260119_223623.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.67,956.32,41.224,3.358,40.335,3.212
benchmark_log_sphincs_20260119_230436.txt,sphincs-SPHINCS+-SHA2-128f-simple,75.59,958.07,41.603,3.291,40.502,3.197
